market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:11:01,2022-05-20,2022-05-20 10:11:01.989,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21626,29117,3423.0,3422.0,3,1,3834.0,2834.0,1.0,2022-05-19 21:11:01
2022-05-20 10:11:02,2022-05-20,2022-05-20 10:11:02.491,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21627,29117,3422.0,3420.0,2,2,3834.0,2834.0,1.0,2022-05-19 21:11:02
2022-05-20 10:11:03,2022-05-20,2022-05-20 10:11:03.465,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21628,29117,3422.0,3420.0,2,2,3834.0,2834.0,1.0,2022-05-19 21:11:03
2022-05-20 10:11:05,2022-05-20,2022-05-20 10:11:05.963,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21629,29117,3421.5,3420.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:11:05
2022-05-20 10:11:06,2022-05-20,2022-05-20 10:11:06.809,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3419.0,21631,29118,3420.0,3418.0,1,3,3834.0,2834.0,1.0,2022-05-19 21:11:06
2022-05-20 10:11:08,2022-05-20,2022-05-20 10:11:08.477,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21632,29119,3420.0,3418.0,1,2,3834.0,2834.0,1.0,2022-05-19 21:11:08
2022-05-20 10:11:11,2022-05-20,2022-05-20 10:11:11.765,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21634,29119,3420.0,3418.0,2,2,3834.0,2834.0,1.0,2022-05-19 21:11:11
2022-05-20 10:11:13,2022-05-20,2022-05-20 10:11:13.988,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21634,29119,3420.0,3418.0,3,2,3834.0,2834.0,1.0,2022-05-19 21:11:13
2022-05-20 10:11:14,2022-05-20,2022-05-20 10:11:14.812,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21636,29119,3419.0,3418.0,3,2,3834.0,2834.0,1.0,2022-05-19 21:11:14
2022-05-20 10:11:15,2022-05-20,2022-05-20 10:11:15.884,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21638,29121,3418.0,3417.0,4,3,3834.0,2834.0,1.0,2022-05-19 21:11:15
